Vertex 20 -20
551.704 -471.457 592.085 -437.232
592.085 -437.232 551.704 -471.457
551.704 -471.457 511.348 -505.711
511.348 -505.711 470.842 -540.139
470.842 -540.139 459.905 -549.445
Vertex 10 5
41.845 26.845 38.3446 23.8096
38.3446 23.8096 27.5774 14.5786
27.5774 14.5786 19.5553 8.00879
19.5553 8.00879 13.9215 4.12549
13.9215 4.12549 9.85623 2.98729
9.85623 2.98729 13.9215 4.12549
13.9215 4.12549 9.85624 2.98729
9.85624 2.98729 8.06875 3.4448
12.1454 60.0997 22.374 49.9319
22.374 49.9319 32.4412 38.8398
32.4412 38.8398 41.1892 27.7498
41.1892 27.7498 32.4412 38.8398
32.4412 38.8398 41.1892 27.7498
41.1892 27.7498 41.845 26.845
8.06875 3.4448 7.78453 4.01535
7.78453 4.01535 7.009 8.26029
7.009 8.26029 7.31463 15.0726
7.31463 15.0726 8.30085 25.3536
8.30085 25.3536 9.82513 39.424
9.82513 39.424 11.8393 57.3922
11.8393 57.3922 12.1454 60.0997
Vertex 1 1
12.1454 60.0997 11.8393 57.3922
11.8393 57.3922 9.82513 39.424
9.82513 39.424 8.30085 25.3536
8.30085 25.3536 7.31463 15.0726
7.31463 15.0726 7.009 8.26029
7.009 8.26029 7.78453 4.01535
7.78453 4.01535 7.009 8.26029
7.009 8.26029 7.78453 4.01535
7.78453 4.01535 8.06875 3.4448
12.1454 60.0997 nan nan
12.1454 60.0997 8.10683 64.532
8.10683 64.532 -5.25043 78.6771
-5.25043 78.6771 -20.7201 94.4369
-20.7201 94.4369 -38.5129 112.112
-38.5129 112.112 -58.7853 131.924
-58.7853 131.924 -81.6509 154.035
-81.6509 154.035 -107.192 178.563
-107.192 178.563 -135.467 205.591
-135.467 205.591 -166.518 235.18
-166.518 235.18 -200.378 267.374
-200.378 267.374 -237.068 302.205
-237.068 302.205 -276.605 339.698
-276.605 339.698 -319.003 379.87
-319.003 379.87 -364.271 422.736
-364.271 422.736 -412.415 468.306
-412.415 468.306 -457.928 511.37
-2.92175 -5.35399 -4.14645 -4.14645
-4.14645 -4.14645 -8.2369 0.125826
-8.2369 0.125826 -13.4697 5.90409
-13.4697 5.90409 -20.6707 14.0141
-20.6707 14.0141 -30.2193 24.8355
-30.2193 24.8355 -42.2734 38.526
-42.2734 38.526 -56.9005 55.1531
-56.9005 55.1531 -74.1316 74.7478
-74.1316 74.7478 -93.982 97.3255
-93.982 97.3255 -116.46 122.894
-116.46 122.894 -141.57 151.459
-141.57 151.459 -169.316 183.023
-169.316 183.023 -199.698 217.586
-199.698 217.586 -232.717 255.152
-232.717 255.152 -268.376 295.72
-268.376 295.72 -306.674 339.29
-306.674 339.29 -347.611 385.864
-347.611 385.864 -391.188 435.441
-391.188 435.441 -437.405 488.022
-437.405 488.022 -457.928 511.37
8.06875 3.4448 6.86248 1.69154
6.86248 1.69154 3.43826 -2.04783
3.43826 -2.04783 6.86248 1.69154
6.86248 1.69154 3.43826 -2.04783
3.43826 -2.04783 -0.961562 -4.56769
-0.961562 -4.56769 -2.92175 -5.35399
Vertex -10 -10
-2000 864.334 -1962.63 846.664
-1962.63 846.664 -1848.68 792.776
-1848.68 792.776 -1738.34 740.593
-1738.34 740.593 -1631.61 690.116
-1631.61 690.116 -1528.49 641.343
-1528.49 641.343 -1428.98 594.274
-1428.98 594.274 -1333.08 548.907
-1333.08 548.907 -1240.79 505.243
-1240.79 505.243 -1152.11 463.279
-1152.11 463.279 -1067.03 423.015
-1067.03 423.015 -985.561 384.448
-985.561 384.448 -907.691 347.577
-907.691 347.577 -833.421 312.399
-833.421 312.399 -762.748 278.911
-762.748 278.911 -695.667 247.109
-695.667 247.109 -632.174 216.988
-632.174 216.988 -572.263 188.542
-572.263 188.542 -515.925 161.764
-515.925 161.764 -463.15 136.643
-463.15 136.643 -413.926 113.166
-413.926 113.166 -368.236 91.3157
-368.236 91.3157 -326.055 71.0705
-326.055 71.0705 -287.354 52.3997
-287.354 52.3997 -252.092 35.2627
-252.092 35.2627 -220.213 19.6042
-220.213 19.6042 -191.64 5.34865
-191.64 5.34865 -166.269 -7.6071
-166.269 -7.6071 -143.957 -19.4039
-143.957 -19.4039 -124.514 -30.2316
-124.514 -30.2316 -107.683 -40.3416
-107.683 -40.3416 -93.1412 -50.0554
-93.1412 -50.0554 -80.4889 -59.7672
-80.4889 -59.7672 -69.2661 -69.932
-69.2661 -69.932 -80.4889 -59.7672
-80.4889 -59.7672 -69.2661 -69.932
-69.2661 -69.932 -58.9765 -81.0405
-58.9765 -81.0405 -49.124 -93.5836
-49.124 -93.5836 -39.2483 -108.016
-39.2483 -108.016 -28.9509 -124.732
