Vertex 920.135 244.07
511.883 862.734 524.086 865.056
524.086 865.056 529.377 865.943
540.395 812.842 531.941 813.492
531.941 813.492 521.95 815.105
521.95 815.105 513.66 817.859
513.66 817.859 521.95 815.105
521.95 815.105 513.66 817.859
513.66 817.859 506.077 822.197
506.077 822.197 498.211 828.563
498.211 828.563 489.245 837.32
489.245 837.32 478.611 848.724
478.611 848.724 474.511 853.274
529.377 865.943 534.324 854.974
534.324 854.974 538.405 843.115
538.405 843.115 540.601 831.867
540.601 831.867 538.405 843.115
538.405 843.115 540.601 831.867
540.601 831.867 541.005 820.413
541.005 820.413 540.395 812.842
Vertex 490.364 254.5
607.15 361.85 613.047 341.617
613.047 341.617 619.888 318.489
619.888 318.489 626.691 295.877
626.691 295.877 619.888 318.489
619.888 318.489 626.691 295.877
626.691 295.877 633.604 273.298
633.604 273.298 640.773 250.27
640.773 250.27 648.339 226.324
648.339 226.324 648.89 224.593
607.15 361.85 nan nan
607.15 361.85 601.222 369.652
601.222 369.652 596.63 375.646
500.96 387.203 509.027 386.039
509.027 386.039 531.131 383.047
531.131 383.047 553.802 380.262
553.802 380.262 577.546 377.613
577.546 377.613 596.63 375.646
446.176 369.243 450.357 370.689
450.357 370.689 472.319 378.073
472.319 378.073 494.873 385.306
494.873 385.306 500.96 387.203
405.586 309.133 nan nan
405.586 309.133 416.021 325.555
416.021 325.555 428.289 343.9
428.289 343.9 441.583 362.865
441.583 362.865 446.176 369.243
489.736 153.288 488.256 156.047
488.256 156.047 478.106 174.963
478.106 174.963 469.243 191.469
469.243 191.469 461.435 205.996
461.435 205.996 454.378 219.105
454.378 219.105 447.71 231.468
447.71 231.468 454.378 219.105
454.378 219.105 447.71 231.468
447.71 231.468 441.03 243.824
441.03 243.824 433.94 256.915
433.94 256.915 426.076 271.413
426.076 271.413 417.136 287.877
417.136 287.877 406.887 306.739
406.887 306.739 405.586 309.133
648.89 224.593 629.443 214.611
629.443 214.611 606.057 202.881
606.057 202.881 584.377 192.373
584.377 192.373 563.998 182.928
563.998 182.928 544.459 174.363
544.459 174.363 525.258 166.478
525.258 166.478 544.459 174.363
544.459 174.363 525.258 166.478
525.258 166.478 505.87 159.065
505.87 159.065 489.736 153.288
Vertex 391.01 875.031
446.655 849.341 446.59 849.293
446.59 849.293 433.675 839.927
433.675 839.927 421.26 831.207
421.26 831.207 433.675 839.927
433.675 839.927 421.26 831.207
421.26 831.207 408.704 822.691
408.704 822.691 395.367 813.936
395.367 813.936 380.66 804.537
380.66 804.537 364.081 794.146
364.081 794.146 354.716 788.338
446.655 849.341 nan nan
446.655 849.341 448.087 851.282
448.087 851.282 450.916 855.172
444.744 881.929 nan nan
444.744 881.929 446.785 873.472
446.785 873.472 450.349 857.776
450.349 857.776 450.916 855.172
427.68 910.082 433.092 901.953
433.092 901.953 441.22 888.39
441.22 888.39 444.744 881.929
294.433 870.986 307.494 877.647
307.494 877.647 326.554 886.999
326.554 886.999 343.32 894.622
343.32 894.622 358.248 900.599
358.248 900.599 371.929 905.035
371.929 905.035 385.064 908.058
385.064 908.058 371.929 905.035
371.929 905.035 385.064 908.058
385.064 908.058 398.429 909.806
398.429 909.806 412.798 910.419
412.798 910.419 427.68 910.082
340.185 795.501 339.493 796.518
339.493 796.518 328.221 813.509
328.221 813.509 317.692 830.261
317.692 830.261 328.221 813.509
328.221 813.509 317.692 830.261
317.692 830.261 307.6 847.279
307.6 847.279 297.634 865.069
297.634 865.069 294.433 870.986
354.716 788.338 349.932 790.638
349.932 790.638 340.185 795.501
Vertex 755.441 334.955
770.588 378.197 772.238 367.477
772.238 367.477 773.841 354.169
773.841 354.169 774.437 342.933
774.437 342.933 773.929 332.881
773.929 332.881 774.437 342.933
774.437 342.933 773.929 332.881
773.929 332.881 772.197 322.966
772.197 322.966 769.125 312.141
769.125 312.141 764.614 299.519
764.614 299.519 758.589 284.45
758.589 284.45 751.003 266.495
751.003 266.495 741.824 245.381
741.824 245.381 731.033 220.935
731.033 220.935 718.619 193.051
718.619 193.051 713.906 182.505
607.15 361.85 615.635 363.439
615.635 363.439 643.699 368.531
643.699 368.531 668.63 372.741
668.63 372.741 690.703 376.045
690.703 376.045 710.277 378.414
710.277 378.414 727.817 379.809
727.817 379.809 743.893 380.182
743.893 380.182 759.163 379.478
759.163 379.478 743.893 380.182
743.893 380.182 759.163 379.478
759.163 379.478 770.588 378.197
648.89 224.593 648.339 226.324
648.339 226.324 640.773 250.27
640.773 250.27 633.604 273.298
633.604 273.298 626.691 295.877
626.691 295.877 633.604 273.298
633.604 273.298 626.691 295.877
626.691 295.877 619.888 318.489
619.888 318.489 613.047 341.617
613.047 341.617 607.15 361.85
713.906 182.505 694.382 194.686
694.382 194.686 672.604 208.727
672.604 208.727 694.382 194.686
694.382 194.686 672.604 208.727
672.604 208.727 651.056 223.119
651.056 223.119 648.89 224.593
Vertex 859.226 829.368
899.6 763.549 888.848 763.333
888.848 763.333 869.623 763.813
869.623 763.813 851.131 765.505
851.131 765.505 869.623 763.813
869.623 763.813 851.131 765.505
851.131 765.505 832.802 768.48
832.802 768.48 814.066 772.812
814.066 772.812 794.38 778.568
794.38 778.568 788.03 780.644
899.6 763.549 nan nan
899.6 763.549 905.33 766.129
905.33 766.129 919.104 772.874
841.361 865.914 851.69 862.66
851.69 862.66 864.543 856.996
864.543 856.996 875.462 849.847
875.462 849.847 864.543 856.996
864.543 856.996 875.462 849.847
875.462 849.847 884.912 840.847
884.912 840.847 893.359 829.625
893.359 829.625 901.236 815.84
901.236 815.84 908.916 799.193
908.916 799.193 916.705 779.443
916.705 779.443 919.104 772.874
841.361 865.914 nan nan
841.361 865.914 837.535 864.837
837.535 864.837 822.377 859.46
822.377 859.46 806.336 852.118
806.336 852.118 788.908 842.722
788.908 842.722 776.344 835.302
776.344 835.302 nan nan
776.344 835.302 771.431 821.537
771.431 821.537 766.433 807.652
788.03 780.644 nan nan
788.03 780.644 782.475 787.195
782.475 787.195 769.149 804.026
769.149 804.026 766.433 807.652
Vertex 48.323 444.302
154.589 357.802 147.905 357.371
147.905 357.371 126.451 355.62
126.451 355.62 106.941 353.37
106.941 353.37 88.8535 350.496
88.8535 350.496 71.6045 346.857
71.6045 346.857 88.8535 350.496
88.8535 350.496 71.6045 346.857
71.6045 346.857 54.5735 342.305
54.5735 342.305 37.1402 336.694
37.1402 336.694 18.7201 329.882
18.7201 329.882 -1.20819 321.745
-1.20819 321.745 -23.0874 312.177
-23.0874 312.177 -47.2792 301.093
-47.2792 301.093 -74.0703 288.423
-74.0703 288.423 -103.683 274.114
-103.683 274.114 -108.953 271.544
124.279 533.271 125.907 512.12
125.907 512.12 127.732 492.797
127.732 492.797 129.837 474.839
129.837 474.839 132.319 457.623
132.319 457.623 129.837 474.839
129.837 474.839 132.319 457.623
132.319 457.623 135.285 440.484
135.285 440.484 138.84 422.756
138.84 422.756 143.083 403.816
143.083 403.816 148.101 383.112
148.101 383.112 153.968 360.179
153.968 360.179 154.589 357.802
-57.8582 606.469 -42.3596 599.098
-42.3596 599.098 -17.2993 587.372
-17.2993 587.372 5.54939 576.98
5.54939 576.98 26.5431 567.798
26.5431 567.798 46.1079 559.683
46.1079 559.683 64.7355 552.466
64.7355 552.466 82.9685 545.963
82.9685 545.963 64.7355 552.466
64.7355 552.466 82.9685 545.963
82.9685 545.963 101.378 539.978
101.378 539.978 120.536 534.318
120.536 534.318 124.279 533.271
-57.8582 606.469 nan nan
-57.8582 606.469 -59.9833 606.559
-59.9833 606.559 -88.0624 608.02
-88.0624 608.02 -118.372 610.064
-118.372 610.064 -151.217 612.672
-151.217 612.672 -186.856 615.826
-186.856 615.826 -225.503 619.513
-225.503 619.513 -267.332 623.722
-267.332 623.722 -312.488 628.443
-312.488 628.443 -361.087 633.669
-361.087 633.669 -413.222 639.394
-413.222 639.394 -468.97 645.613
-468.97 645.613 -528.391 652.322
-528.391 652.322 -591.536 659.517
-591.536 659.517 -658.446 667.197
-658.446 667.197 -729.153 675.359
-729.153 675.359 -803.685 684.001
-803.685 684.001 -882.063 693.123
-882.063 693.123 -964.307 702.721
-964.307 702.721 -1050.43 712.797
-1050.43 712.797 -1140.45 723.348
-1140.45 723.348 -1234.37 734.375
-1234.37 734.375 -1332.21 745.876
-1332.21 745.876 -1433.96 757.851
-1433.96 757.851 -1539.64 770.3
-1539.64 770.3 -1649.26 783.222
-1649.26 783.222 -1762.81 796.618
-1762.81 796.618 -1880.3 810.486
-1880.3 810.486 -2000 824.621
-108.953 271.544 nan nan
-108.953 271.544 -134.575 267.139
-134.575 267.139 -169.303 260.847
-169.303 260.847 -207.03 253.717
-207.03 253.717 -247.927 245.747
-247.927 245.747 -292.132 236.938
-292.132 236.938 -339.756 227.29
-339.756 227.29 -390.889 216.803
-390.889 216.803 -445.602 205.476
-445.602 205.476 -503.953 193.31
-503.953 193.31 -565.988 180.306
-565.988 180.306 -631.745 166.462
-631.745 166.462 -701.254 151.779
-701.254 151.779 -774.542 136.257
-774.542 136.257 -851.627 119.895
-851.627 119.895 -932.527 102.695
-932.527 102.695 -1017.26 84.6557
-1017.26 84.6557 -1105.82 65.7773
-1105.82 65.7773 -1198.24 46.0599
-1198.24 46.0599 -1294.52 25.5033
-1294.52 25.5033 -1394.66 4.10774
-1394.66 4.10774 -1498.68 -18.1269
-1498.68 -18.1269 -1606.56 -41.2006
-1606.56 -41.2006 -1718.33 -65.1134
-1718.33 -65.1134 -1833.98 -89.8652
-1833.98 -89.8652 -1953.52 -115.456
-1953.52 -115.456 -2000 -125.408
Vertex 781.526 79.1095
1104.93 -5.49701 nan nan
1104.93 -5.49701 1128.81 -21.6363
1128.81 -21.6363 1168.65 -48.4833
1168.65 -48.4833 1211.56 -77.34
1211.56 -77.34 1257.59 -108.246
1257.59 -108.246 1306.79 -141.233
1306.79 -141.233 1359.18 -176.326
1359.18 -176.326 1414.78 -213.544
1414.78 -213.544 1473.61 -252.904
1473.61 -252.904 1535.7 -294.417
1535.7 -294.417 1601.05 -338.096
1601.05 -338.096 1669.67 -383.947
1669.67 -383.947 1741.57 -431.979
1741.57 -431.979 1816.75 -482.197
1816.75 -482.197 1895.23 -534.606
1895.23 -534.606 1977.01 -589.209
1977.01 -589.209 2000 -604.561
753.41 149.303 768.965 149.467
768.965 149.467 789.077 148.168
789.077 148.168 768.965 149.467
768.965 149.467 789.077 148.168
789.077 148.168 808.993 145.091
808.993 145.091 829.187 140.184
829.187 140.184 850.111 133.397
850.111 133.397 872.185 124.686
872.185 124.686 895.786 114.008
895.786 114.008 921.241 101.327
921.241 101.327 948.828 86.6144
948.828 86.6144 978.779 69.8436
978.779 69.8436 1011.28 50.9942
1011.28 50.9942 1046.49 30.0494
1046.49 30.0494 1084.53 6.99566
1084.53 6.99566 1104.93 -5.49701
2000 -1247.22 1944.43 -1191.93
1944.43 -1191.93 1863.53 -1111.42
1863.53 -1111.42 1785.46 -1033.71
1785.46 -1033.71 1710.24 -958.801
1710.24 -958.801 1637.84 -886.688
1637.84 -886.688 1568.28 -817.368
1568.28 -817.368 1501.56 -750.837
1501.56 -750.837 1437.67 -687.09
1437.67 -687.09 1376.61 -626.121
1376.61 -626.121 1318.38 -567.923
1318.38 -567.923 1262.99 -512.489
1262.99 -512.489 1210.42 -459.807
1210.42 -459.807 1160.68 -409.865
1160.68 -409.865 1113.77 -362.649
1113.77 -362.649 1069.68 -318.138
1069.68 -318.138 1028.41 -276.308
1028.41 -276.308 989.962 -237.131
989.962 -237.131 954.324 -200.567
954.324 -200.567 921.493 -166.57
921.493 -166.57 891.46 -135.078
891.46 -135.078 864.216 -106.015
864.216 -106.015 839.75 -79.2807
839.75 -79.2807 818.045 -54.7512
818.045 -54.7512 799.081 -32.2681
799.081 -32.2681 782.835 -11.6337
782.835 -11.6337 769.276 7.39566
769.276 7.39566 758.367 25.1139
758.367 25.1139 750.066 41.8664
750.066 41.8664 744.323 58.0456
744.323 58.0456 741.085 74.0805
741.085 74.0805 744.323 58.0456
744.323 58.0456 741.085 74.0805
741.085 74.0805 740.297 90.42
740.297 90.42 741.902 107.513
741.902 107.513 745.848 125.788
745.848 125.788 752.085 145.639
752.085 145.639 753.41 149.303
Vertex 461.92 687.887
387.688 692.602 nan nan
387.688 692.602 387.32 695.94
387.32 695.94 385.594 715.104
385.594 715.104 384.369 735.562
384.369 735.562 384.159 740.295
492.779 651.081 489.924 651.696
489.924 651.696 475.822 654.94
475.822 654.94 463.687 658.179
463.687 658.179 452.703 661.701
452.703 661.701 463.687 658.179
463.687 658.179 452.703 661.701
452.703 661.701 441.935 665.836
441.935 665.836 430.446 670.911
430.446 670.911 417.421 677.215
417.421 677.215 402.231 684.969
402.231 684.969 387.688 692.602
468.809 741.26 473.497 733.316
473.497 733.316 480.809 719.564
480.809 719.564 486.255 706.898
486.255 706.898 490.003 694.629
490.003 694.629 486.255 706.898
486.255 706.898 490.003 694.629
490.003 694.629 492.234 681.997
492.234 681.997 493.131 668.239
493.131 668.239 492.86 652.666
492.86 652.666 492.779 651.081
384.159 740.295 395.189 739.945
395.189 739.945 413.72 739.521
413.72 739.521 429.976 739.425
429.976 739.425 444.588 739.7
